City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Moroto,UG,64.92,light rain,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
335,Sola,VU,82.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
337,Chateaubelair,VC,77.2,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
343,Maracaju,BR,61.45,clear sky,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
345,La Gomera,GT,82.0,overcast clouds,14.0833,-91.05,Cede.E.T.V
346,Nara,JP,58.5,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
347,Sulangan,PH,82.29,scattered clouds,11.1373,123.7228,Maia's Beach Resort
349,Cockburn Town,TC,77.54,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
350,Mount Gambier,AU,62.51,overcast clouds,-37.8333,140.7667,The Commodore
351,Fenoarivo,MG,64.47,broken clouds,-18.933,47.4354,Skyfol Ambodiafontsy
353,Alto Araguaia,BR,65.53,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
355,Mairana,BO,53.29,overcast clouds,-18.1167,-63.9333,Mi Terruño
356,Raga,SS,75.29,overcast clouds,8.4596,25.678,
357,Tomatlan,MX,71.28,overcast clouds,19.9333,-105.25,El Salvial
358,Nadadores,MX,88.25,scattered clouds,27.05,-101.6,Hacienda Las Catalinas
359,Sungaipenuh,ID,71.1,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
360,Sorong,ID,85.55,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
361,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
362,Bilma,NE,83.7,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
363,Beloha,MG,74.89,broken clouds,-25.1667,45.05,
365,Chipinge,ZW,63.43,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
366,Peniche,PT,57.11,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
369,Arlit,NE,80.58,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
370,Yazd,IR,62.71,overcast clouds,31.8972,54.3675,Mozaffar Traditional Hotel
373,Aransas Pass,US,75.29,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
374,Mana,GF,77.41,overcast clouds,5.6592,-53.7767,LE SAMANA
376,Hobyo,SO,81.34,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
377,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
378,Tuy Hoa,VN,81.43,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
380,Harrisonville,US,55.78,overcast clouds,38.6533,-94.3488,Americas Best Value Inn & Suites Harrisonville
382,Dingle,PH,84.36,few clouds,10.9995,122.6711,SEGAYA PROPERTY
384,Taoudenni,ML,76.32,clear sky,22.6783,-3.9836,
388,Harper,LR,78.31,moderate rain,4.375,-7.7169,Screensaver
389,Jalu,LY,76.12,overcast clouds,29.0331,21.5482,صاحبة الفخامة
391,Teknaf,BD,84.25,broken clouds,20.8624,92.3058,Forestry Guesthouse
392,Launceston,AU,64.04,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
